#                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
msafile_full_length_sequences -          L9KRJ3_TUPCH/2-134   L9KRJ3.1     1.8e-37  115.5  16.6     2e-37  115.4  16.6   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6P6IEJ9_PUMCO/1-303 A0A6P6IEJ9.1  1.2e-144  469.8  34.3  1.3e-144  469.7  34.3   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6J0ULK7_9SAUR/1-292 A0A6J0ULK7.1   1.4e-58  185.3  41.0   1.5e-58  185.2  41.0   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          T2R50_PANPA/1-298    Q646E4.1    3.1e-128  415.6  51.4  3.4e-128  415.4  51.4   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6J3ACJ0_VICPA/1-303 A0A6J3ACJ0.1  1.8e-138  449.4  38.9    2e-138  449.3  38.9   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A1U7TG92_CARSF/1-294 A0A1U7TG92.2   1.6e-99  320.7  55.5   1.7e-99  320.6  55.5   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6I9M7B4_PERMB/12-311 A0A6I9M7B4.1   3.8e-98  316.1  50.1   4.4e-98  315.9  50.1   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          Q2ABC4_BOVIN/1-303   Q2ABC4.1    2.7e-130  422.4  38.8    3e-130  422.2  38.8   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6P3V9B0_OCTDE/1-281 A0A6P3V9B0.1  5.3e-102  328.9  61.4  5.8e-102  328.7  61.4   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          Q2ABC8_CANLF/1-298   Q2ABC8.1    1.2e-131  426.8  47.2  1.4e-131  426.7  47.2   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          M3Z892_MUSPF/1-298   M3Z892.1    2.1e-130  422.8  42.2  2.3e-130  422.6  42.2   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          TR102_RAT/1-297      Q675C0.1    3.8e-107  345.9  45.6  4.2e-107  345.7  45.6   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A2U3ZVE9_ODORO/1-293 A0A2U3ZVE9.1   5.3e-94  302.4  44.0   5.8e-94  302.3  44.0   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          T2R30_HUMAN/1-298    P59541.3    1.5e-134  436.4  44.1  1.7e-134  436.3  44.1   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          L5KPT0_PTEAL/1-290   L5KPT0.1    1.4e-100  324.2  39.1  1.5e-100  324.0  39.1   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          S9XCQ6_CAMFR/74-353  S9XCQ6.1     8.8e-85  271.9  38.3     1e-84  271.7  38.3   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6P8QY58_GEOSA/1-303 A0A6P8QY58.1   7.7e-90  288.7  43.6   8.4e-90  288.5  43.6   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          S7NEB0_MYOBR/1-299   S7NEB0.1    1.8e-100  323.8  48.8  2.2e-100  323.5  48.8   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          TR135_MOUSE/13-311   Q7TQA9.2     3.9e-88  283.0  51.1     5e-88  282.7  51.1   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A2K6ELM5_PROCO/27-311 A0A2K6ELM5.1   6.4e-98  315.4  42.4   7.6e-98  315.1  42.4   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          TR129_RAT/1-302      Q67ES6.1    3.1e-100  323.0  52.5  3.5e-100  322.9  52.5   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          T2R39_GORGO/29-330   Q645Y7.1    4.5e-112  362.2  50.0  5.3e-112  361.9  50.0   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6J3ENU9_AYTFU/1-303 A0A6J3ENU9.1  4.4e-120  388.6  47.4  5.3e-120  388.4  47.4   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A2Y9NA79_DELLE/12-309 A0A2Y9NA79.1   1.1e-93  301.4  32.3   1.4e-93  301.1  32.3   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6J0SI67_9SAUR/1-302 A0A6J0SI67.1   2.7e-94  303.4  42.7     3e-94  303.2  42.7   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6I9LB35_PERMB/1-294 A0A6I9LB35.1   4.6e-99  319.2  48.0     5e-99  319.0  48.0   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A672RD89_SINGR/13-284 A0A672RD89.1   6.5e-25   74.0  29.5   8.5e-25   73.6  29.5   1.0   1   0   0   1   1   1   1 -
msafile_full_length_sequences -          A0A6I9ZFS4_ACIJB/1-297 A0A6I9ZFS4.1  5.2e-133  431.4  40.9  5.7e-133  431.2  40.9   1.0   1   0   0   1   1   1   1 -
